,w,C,gamma,accuracy
fold_id0,0.3,10.0,1.0,0.8421052631578947
fold_id1,0.3,10.0,1.0,0.9473684210526315
fold_id2,0.4,1000.0,0.01,0.7368421052631579
fold_id3,0.5,10.0,1.0,0.9473684210526315
fold_id4,0.3,1000.0,0.01,0.7368421052631579
fold_id5,0.3,10.0,1.0,0.8947368421052632
fold_id6,0.5,10.0,1.0,0.8947368421052632
fold_id7,0.4,10.0,1.0,0.8947368421052632
fold_id8,0.45,10.0,1.0,0.8888888888888888
fold_id9,0.4,10.0,1.0,0.8888888888888888
