,w,C,gamma,accuracy
fold_id0,4.5e-01,1000.0,1.0,0.8761061946902655
fold_id1,0.45,1000.0,1.0,0.8141592920353983
fold_id2,0.45,1000.0,1.0,0.7345132743362832
fold_id3,0.45,1000.0,1.0,0.7699115044247787
fold_id4,0.45,1000.0,1.0,0.831858407079646
fold_id5,0.45,1000.0,1.0,0.7168141592920354
fold_id6,0.45,1000.0,1.0,0.7767857142857143
fold_id7,0.45,1000.0,1.0,0.8303571428571429
fold_id8,0.45,1000.0,1.0,0.7232142857142857
fold_id9,0.45,1000.0,1.0,0.7946428571428571
