,w,C,gamma,accuracy
fold_id0,0.25,10.0,1.0,0.4857142857142857
fold_id1,0.3,1000.0,0.001,0.5142857142857142
fold_id2,0.3,1000.0,0.001,0.5428571428571428
fold_id3,0.25,100.0,0.1,0.5714285714285714
fold_id4,0.2,10.0,1.0,0.5
fold_id5,0.45,100.0,1.0,0.6470588235294118
fold_id6,0.6,1000.0,1.0,0.7058823529411765
fold_id7,0.25,1000.0,0.1,0.5588235294117647
fold_id8,0.25,1000.0,0.001,0.4411764705882353
fold_id9,0.85,1000.0,0.1,0.5294117647058824
