,w,C,gamma,accuracy
fold_id0,0.6000000000000001,1000.0,0.001,0.5714285714285714
fold_id1,0.7000000000000001,1000.0,0.001,0.5714285714285714
fold_id2,0.30000000000000004,1.0,10.0,0.5714285714285714
fold_id3,0.7000000000000001,1000.0,0.01,0.6571428571428571
fold_id4,0.8,1000.0,0.01,0.6470588235294118
fold_id5,0.6000000000000001,1000.0,0.01,0.5882352941176471
fold_id6,0.6000000000000001,1000.0,0.01,0.6764705882352942
fold_id7,0.8,1000.0,0.01,0.5882352941176471
fold_id8,0.6000000000000001,1000.0,0.01,0.4117647058823529
fold_id9,0.8,1000.0,0.01,0.5
