,w,C,gamma,accuracy
fold_id0,0.2,1000.0,1.0,0.5428571428571428
fold_id1,0.7000000000000001,1000.0,0.001,0.6857142857142857
fold_id2,0.7000000000000001,1000.0,0.001,0.6
fold_id3,0.7000000000000001,10.0,1.0,0.6571428571428571
fold_id4,0.8,1000.0,0.01,0.4411764705882353
fold_id5,0.8,10.0,1.0,0.5882352941176471
fold_id6,0.30000000000000004,1.0,10.0,0.6176470588235294
fold_id7,0.7000000000000001,100.0,0.1,0.6176470588235294
fold_id8,0.8,10.0,1.0,0.6470588235294118
fold_id9,0.6000000000000001,1000.0,0.1,0.5294117647058824
