,w,C,gamma,accuracy
fold_id0,0.4,1000.0,0.001,0.5714285714285714
fold_id1,0.30000000000000004,1000.0,0.001,0.5714285714285714
fold_id2,0.35000000000000003,1000.0,0.01,0.5714285714285714
fold_id3,0.30000000000000004,1000.0,0.01,0.6571428571428571
fold_id4,0.35000000000000003,1.0,10.0,0.6176470588235294
fold_id5,0.35000000000000003,1000.0,0.01,0.6176470588235294
fold_id6,0.4,1000.0,0.01,0.6764705882352942
fold_id7,0.35000000000000003,1000.0,0.1,0.5882352941176471
fold_id8,0.30000000000000004,1000.0,0.001,0.5882352941176471
fold_id9,0.35000000000000003,1000.0,0.01,0.5294117647058824
