,w,C,gamma,accuracy
fold_id0,0.6,100.0,1.0,0.9473684210526315
fold_id1,0.6,100.0,1.0,0.9473684210526315
fold_id2,0.5,1000.0,0.1,0.8947368421052632
fold_id3,0.5,1000.0,0.01,0.8947368421052632
fold_id4,0.3,100.0,10.0,0.7894736842105263
fold_id5,0.6,100.0,1.0,0.8421052631578947
fold_id6,0.3,1000.0,1.0,0.8421052631578947
fold_id7,0.6,1000.0,0.1,0.8947368421052632
fold_id8,0.6,100.0,1.0,0.8333333333333334
fold_id9,0.6,100.0,1.0,0.8888888888888888
