,w,C,gamma,accuracy
fold_id0,0.1,10.0,0.1,0.5428571428571428
fold_id1,0.1,10.0,0.1,0.6
fold_id2,0.1,10.0,0.1,0.5714285714285714
fold_id3,0.1,10.0,0.1,0.6
fold_id4,0.1,10.0,0.1,0.5882352941176471
fold_id5,0.1,10.0,0.1,0.5882352941176471
fold_id6,0.1,10.0,0.1,0.6764705882352942
fold_id7,0.1,10.0,0.1,0.5882352941176471
fold_id8,0.1,10.0,0.1,0.5882352941176471
fold_id9,0.1,10.0,0.1,0.4411764705882353
