,h,C,gamma,accuracy
fold_id0,1000.0,1.0,10.0,0.6571428571428571
fold_id1,1000.0,1.0,10.0,0.6
fold_id2,1000.0,1.0,10.0,0.5714285714285714
fold_id3,1000.0,1.0,10.0,0.6857142857142857
fold_id4,1000.0,1.0,10.0,0.5588235294117647
fold_id5,1000.0,1.0,10.0,0.5588235294117647
fold_id6,1000.0,1.0,10.0,0.7647058823529411
fold_id7,1000.0,1.0,10.0,0.6176470588235294
fold_id8,1000.0,1.0,10.0,0.6176470588235294
fold_id9,1000.0,1.0,10.0,0.7058823529411765
