,h,C,gamma,accuracy
fold_id0,1000.0,1.0,10.0,0.6285714285714286
fold_id1,1000.0,1.0,10.0,0.6571428571428571
fold_id2,1000.0,1.0,10.0,0.5714285714285714
fold_id3,1000.0,1.0,10.0,0.7428571428571429
fold_id4,1000.0,1.0,10.0,0.5882352941176471
fold_id5,1000.0,1.0,10.0,0.6470588235294118
fold_id6,1000.0,1.0,10.0,0.6470588235294118
fold_id7,1000.0,1.0,10.0,0.5588235294117647
fold_id8,1000.0,1.0,10.0,0.6176470588235294
fold_id9,1000.0,1.0,10.0,0.6176470588235294
