,w,C,gamma,accuracy
fold_id0,6e-01,1000.0,0.1,0.8407079646017699
fold_id1,0.6,1000.0,0.1,0.7964601769911505
fold_id2,0.6,1000.0,0.1,0.7433628318584071
fold_id3,0.6,1000.0,0.1,0.7787610619469026
fold_id4,0.6,1000.0,0.1,0.7876106194690266
fold_id5,0.6,1000.0,0.1,0.7964601769911505
fold_id6,0.6,1000.0,0.1,0.7410714285714286
fold_id7,0.6,1000.0,0.1,0.8303571428571429
fold_id8,0.6,1000.0,0.1,0.7232142857142857
fold_id9,0.6,1000.0,0.1,0.7589285714285714
