,w,C,gamma,accuracy
fold_id0,5e-01,1.0,1.0,0.7321428571428571
fold_id1,0.5,1.0,1.0,0.8125
fold_id2,0.5,1.0,1.0,0.7321428571428571
fold_id3,0.5,1.0,1.0,0.7747747747747747
fold_id4,0.5,1.0,1.0,0.7927927927927928
fold_id5,0.5,1.0,1.0,0.7837837837837838
fold_id6,0.5,1.0,1.0,0.7027027027027027
fold_id7,0.5,1.0,1.0,0.7117117117117117
fold_id8,0.5,1.0,1.0,0.7747747747747747
fold_id9,0.5,1.0,1.0,0.8018018018018018
