dataset,method,sample,c,gamma,w,hl,accuracy,sinkhorn
PTC_MR,1,0,1,10,0.4,800,0.662
ENZYMES,0,2,100,0.01,0.60,800,0.6850
PROTEINS,0,2,1.0,1.0,0.50,800,0.7619
DD,1,0,1000,1.0,0.50,800,,True
