,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,SP kernel,0.26666666666666666,0.4,0.4,0.4,0.4,0.4166666666666667,0.4,0.38333333333333336,0.5084745762711864,0.4576271186440678
1,WL kernel,0.5666666666666667,0.5,0.55,0.5666666666666667,0.5333333333333333,0.55,0.5333333333333333,0.6,0.4745762711864407,0.559322033898305
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.2,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.21666666666666667,0.23333333333333334,0.25,0.23333333333333334,0.2542372881355932,0.1864406779661017
