,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,<class 'grakel.kernels.shortest_path.ShortestPath'>,0.6764705882352942,0.7058823529411765,0.6176470588235294,0.5,0.5882352941176471,0.6176470588235294,0.5882352941176471,0.5882352941176471,0.6176470588235294,0.5588235294117647
1,<class 'grakel.kernels.weisfeiler_lehman.WeisfeilerLehman'>,0.7058823529411765,0.6764705882352942,0.6470588235294118,0.5588235294117647,0.7058823529411765,0.5294117647058824,0.5588235294117647,0.6470588235294118,0.6176470588235294,0.5882352941176471
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.6176470588235294,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.6176470588235294
3,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.5882352941176471,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.5588235294117647,0.5294117647058824,0.6176470588235294,0.5588235294117647,0.5588235294117647
4,<class 'grakel.kernels.random_walk.RandomWalkLabeled'>,0.6176470588235294,0.5588235294117647,0.6176470588235294,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.5588235294117647,0.5294117647058824
