,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,SP kernel,0.38333333333333336,0.45,0.4,0.45,0.3333333333333333,0.48333333333333334,0.4666666666666667,0.48333333333333334,0.22033898305084745,0.4406779661016949
1,WL kernel,0.55,0.4666666666666667,0.6166666666666667,0.5,0.5333333333333333,0.55,0.48333333333333334,0.45,0.5423728813559322,0.4406779661016949
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.21666666666666667,0.18333333333333332,0.25,0.2,0.18333333333333332,0.21666666666666667,0.2,0.25,0.2542372881355932,0.22033898305084745
