,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,<class 'grakel.kernels.shortest_path.ShortestPath'>,0.38333333333333336,0.45,0.43333333333333335,0.31666666666666665,0.35,0.35,0.5333333333333333,0.43333333333333335,0.4406779661016949,0.3898305084745763
1,<class 'grakel.kernels.weisfeiler_lehman.WeisfeilerLehman'>,0.5833333333333334,0.48333333333333334,0.6,0.55,0.38333333333333336,0.43333333333333335,0.5833333333333334,0.5333333333333333,0.5932203389830508,0.559322033898305
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.23333333333333334,0.23333333333333334,0.15,0.18333333333333332,0.25,0.21666666666666667,0.2,0.23333333333333334,0.2542372881355932,0.2542372881355932
