,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,<class 'grakel.kernels.shortest_path.ShortestPath'>,0.26666666666666666,0.5,0.45,0.45,0.4166666666666667,0.43333333333333335,0.4166666666666667,0.43333333333333335,0.3898305084745763,0.5254237288135594
1,<class 'grakel.kernels.weisfeiler_lehman.WeisfeilerLehman'>,0.55,0.43333333333333335,0.6166666666666667,0.6,0.5,0.55,0.43333333333333335,0.5166666666666667,0.5423728813559322,0.4745762711864407
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.25,0.2,0.2833333333333333,0.21666666666666667,0.23333333333333334,0.21666666666666667,0.25,0.26666666666666666,0.1694915254237288,0.1864406779661017
