,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,SP kernel,0.6764705882352942,0.5,0.6470588235294118,0.5882352941176471,0.5588235294117647,0.5882352941176471,0.5588235294117647,0.47058823529411764,0.6176470588235294,0.6470588235294118
1,WL kernel,0.6176470588235294,0.47058823529411764,0.6470588235294118,0.7352941176470589,0.6764705882352942,0.47058823529411764,0.47058823529411764,0.7352941176470589,0.6764705882352942,0.7058823529411765
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.6176470588235294,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.5588235294117647,0.5882352941176471
3,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.5882352941176471,0.6176470588235294,0.5294117647058824,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.5588235294117647
4,<class 'grakel.kernels.random_walk.RandomWalkLabeled'>,0.6176470588235294,0.5882352941176471,0.5588235294117647,0.35294117647058826,0.5882352941176471,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.6176470588235294
