,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,SP kernel,0.9473684210526315,0.7368421052631579,0.7894736842105263,0.5789473684210527,0.7894736842105263,0.8947368421052632,0.7894736842105263,0.8947368421052632,0.8333333333333334,0.8333333333333334
1,WL kernel,0.8947368421052632,0.7894736842105263,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.6842105263157895,0.9473684210526315,0.7894736842105263,0.9444444444444444,0.7777777777777778
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.631578947368421,0.631578947368421,0.631578947368421,0.6666666666666666,0.6666666666666666
3,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.8421052631578947,0.7368421052631579,0.6842105263157895,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.631578947368421,0.7894736842105263,0.7222222222222222,0.8888888888888888
4,<class 'grakel.kernels.random_walk.RandomWalkLabeled'>,0.8947368421052632,0.8421052631578947,0.7894736842105263,0.6842105263157895,0.8421052631578947,0.7368421052631579,0.9473684210526315,0.8421052631578947,0.7777777777777778,0.7777777777777778
