,Method,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9
0,<class 'grakel.kernels.shortest_path.ShortestPath'>,0.5,0.35,0.36666666666666664,0.36666666666666664,0.4,0.4666666666666667,0.38333333333333336,0.5166666666666667,0.3898305084745763,0.4406779661016949
1,<class 'grakel.kernels.weisfeiler_lehman.WeisfeilerLehman'>,0.5333333333333333,0.55,0.5666666666666667,0.6,0.48333333333333334,0.48333333333333334,0.5833333333333334,0.48333333333333334,0.5423728813559322,0.4067796610169492
2,<class 'grakel.kernels.graphlet_sampling.GraphletSampling'>,0.21666666666666667,0.2,0.23333333333333334,0.16666666666666666,0.16666666666666666,0.2833333333333333,0.21666666666666667,0.25,0.22033898305084745,0.2033898305084746
