,w,C,gamma,accuracy
fold_id0,0.7,10.0,1.0,0.7767857142857143
fold_id1,0.7,10.0,1.0,0.7767857142857143
fold_id2,0.7,10.0,1.0,0.7927927927927928
fold_id3,0.7,10.0,1.0,0.7387387387387387
fold_id4,0.7,10.0,1.0,0.7387387387387387
fold_id5,0.7,10.0,1.0,0.7117117117117117
fold_id6,0.7,10.0,1.0,0.7837837837837838
fold_id7,0.7,10.0,1.0,0.7207207207207207
fold_id8,0.7,10.0,1.0,0.7837837837837838
fold_id9,0.7,10.0,1.0,0.7837837837837838
