,w,C,gamma,accuracy
fold_id0,3e-01,1000.0,1.0,0.8141592920353983
fold_id1,0.5,1000.0,1.0,0.8053097345132744
fold_id2,0.3,1000.0,1.0,0.6991150442477876
fold_id3,0.3,1000.0,1.0,0.7433628318584071
fold_id4,0.5,1000.0,0.1,0.8407079646017699
fold_id5,0.5,1000.0,0.1,0.7168141592920354
fold_id6,0.4,1000.0,0.1,0.7857142857142857
fold_id7,0.4,1000.0,1.0,0.7589285714285714
fold_id8,0.4,1000.0,0.1,0.7946428571428571
fold_id9,0.4,1000.0,0.1,0.8571428571428571
