,w,C,gamma,accuracy
fold_id0,0.3,100.0,0.01,0.65
fold_id1,0.3,100.0,0.01,0.7666666666666667
fold_id2,0.3,100.0,0.01,0.7
fold_id3,0.3,100.0,0.01,0.65
fold_id4,0.3,100.0,0.01,0.6166666666666667
fold_id5,0.3,100.0,0.01,0.7333333333333333
fold_id6,0.3,100.0,0.01,0.5833333333333334
fold_id7,0.3,100.0,0.01,0.6166666666666667
fold_id8,0.3,100.0,0.01,0.7333333333333333
fold_id9,0.3,100.0,0.01,0.6666666666666666
