Kernel,MUTAG,PTC-MR,ENZYMES,PROTEINS,D&D
SP,2.57,2.05,1.82,1.37,1.19
WL,1.9,1.34,1.07,1.17,1.23
RandomWalk,3.1,0.73,0.36,,
Graphlet k=3,0.72,0.46,1.37,0.91,
Graphlet k=4,3,0.84,,0.85,
DiffPool,1.86,2.73,1.77,1.49,1.11
GIN,2.88,2.66,1.42,0.9,0.92
DGCNN,2.5,2.71,1.8,1.03,1.36
GraphSAGE,4.22,1.91,1.9,1.27,0.63
HKS w=0.0,1.87,2.23,1.64,0.7,0.89
WKS w=0.0,1.7,1.29,1.64,0.7,0.89
HKS w=1.0,2.57,1.65,1.58,0.9,1.25
WKS w=1.0,1.82,1.9,0.9,0.77,1.12
HKS,1.39,1.43,1.58,0.97,0.97
WKS,1.14,1.58,1.42,1,0.95
