,w,C,gamma,accuracy
fold_id0,0.4,100.0,0.01,0.8035714285714286
fold_id1,0.15,1.0,1.0,0.7589285714285714
fold_id2,0.25,10.0,10.0,0.7477477477477478
fold_id3,0.15,1.0,1.0,0.7927927927927928
fold_id4,0.25,1000.0,0.001,0.7477477477477478
fold_id5,0.2,1.0,1.0,0.7657657657657657
fold_id6,0.15,1.0,1.0,0.7567567567567568
fold_id7,0.15,1.0,1.0,0.7027027027027027
fold_id8,0.15,1.0,1.0,0.8198198198198198
fold_id9,0.2,10.0,0.1,0.7927927927927928
